Biorefinery,MPSP,,,,Worst,,,,Baseline,Best
Lignocellulose,1.53374285,Sugarcane,1.993865705,Difference,-0.460122855,Relative Difference,-23%,,-0.552147426,-0.662576911
Lignocellulose,1.606645522,Sugarcane,2.088639178,Difference,-0.481993656,Relative Difference,-23%,,-0.578392387,-0.694070865
Lignocellulose,1.381093745,Sugarcane,1.795421869,Difference,-0.414328124,Relative Difference,-23%,,-0.497193749,-0.596632499
Lignocellulose,1.457842761,Sugarcane,1.895195589,Difference,-0.437352828,Relative Difference,-23%,,-0.524823394,-0.629788072
Lignocellulose,1.358985453,Sugarcane,1.766681089,Difference,-0.407695636,Relative Difference,-23%,,-0.489234763,-0.587081716
Lignocellulose,1.410228259,Sugarcane,1.833296737,Difference,-0.423068478,Relative Difference,-23%,,-0.507682174,-0.609218608
Lignocellulose,1.465576839,Sugarcane,1.90524989,Difference,-0.439673051,Relative Difference,-23%,,-0.527607661,-0.633129193
Lignocellulose,1.483895859,Sugarcane,1.929064617,Difference,-0.445168758,Relative Difference,-23%,,-0.53420251,-0.641043012
Lignocellulose,1.611367394,Sugarcane,2.094777612,Difference,-0.483410218,Relative Difference,-23%,,-0.580092262,-0.696110714
Lignocellulose,1.617244778,Sugarcane,2.102418211,Difference,-0.485173433,Relative Difference,-23%,,-0.58220812,-0.698649744
Lignocellulose,1.76311214,Sugarcane,2.292045782,Difference,-0.528933642,Relative Difference,-23%,,-0.63472037,-0.761664444
Lignocellulose,1.666841134,Sugarcane,2.166893475,Difference,-0.500052341,Relative Difference,-23%,,-0.600062809,-0.720075371
Lignocellulose,1.502655608,Sugarcane,1.95345229,Difference,-0.450796682,Relative Difference,-23%,,-0.540956018,-0.649147222
Lignocellulose,1.545281274,Sugarcane,2.008865657,Difference,-0.463584383,Relative Difference,-23%,,-0.55630126,-0.667561512
Lignocellulose,1.425054757,Sugarcane,1.852571184,Difference,-0.427516427,Relative Difference,-23%,,-0.513019712,-0.615623655
Lignocellulose,1.450196487,Sugarcane,1.885255433,Difference,-0.435058946,Relative Difference,-23%,,-0.522070735,-0.626484882
Lignocellulose,1.298791207,Sugarcane,1.688428569,Difference,-0.389637362,Relative Difference,-23%,,-0.467564834,-0.561077801
