Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price,Accessed 6/2/2022,,,,,
3/14/16,2016,2014,D3,Unverified,$0.60 ,,,,,,
3/14/16,2016,2015,D3,Q-RIN,$1.26 ,,,,,,
3/14/16,2016,2016,D3,Q-RIN,$1.60 ,,,,,,
3/21/16,2016,2016,D3,Q-RIN,$1.78 ,,,,,,
3/28/16,2016,2014,D3,Unverified,$1.07 ,,,,,,
3/28/16,2016,2015,D3,Q-RIN,$1.23 ,,,,,,
3/28/16,2016,2015,D3,Unverified,$1.33 ,,,,,,
3/28/16,2016,2016,D3,Q-RIN,$1.66 ,,,,,,
3/28/16,2016,2016,D3,Unverified,$1.80 ,,,,,,
4/4/16,2016,2016,D3,Q-RIN,$1.78 ,,,,,,
4/4/16,2016,2016,D3,Unverified,$1.84 ,,,,,,
4/11/16,2016,2015,D3,Unverified,$1.22 ,,,,,,
4/11/16,2016,2016,D3,Q-RIN,$1.79 ,,,,,,
4/11/16,2016,2016,D3,Unverified,$1.79 ,,,,,,
4/18/16,2016,2015,D3,Q-RIN,$1.26 ,,,,,,
4/18/16,2016,2016,D3,Q-RIN,$1.81 ,,,,,,
4/18/16,2016,2016,D3,Unverified,$1.65 ,,,,,,
4/25/16,2016,2015,D3,Q-RIN,$1.23 ,,,,,,
4/25/16,2016,2015,D3,Unverified,$1.30 ,,,,,,
4/25/16,2016,2016,D3,Q-RIN,$1.65 ,,,,,,
4/25/16,2016,2016,D3,Unverified,$1.83 ,,,,,,
5/2/16,2016,2015,D3,Unverified,$1.11 ,,,,,,
5/2/16,2016,2016,D3,Q-RIN,$1.78 ,,,,,,
5/2/16,2016,2016,D3,Unverified,$1.85 ,,,,,,
5/9/16,2016,2015,D3,Q-RIN,$1.25 ,,,,,,
5/9/16,2016,2016,D3,Q-RIN,$1.66 ,,,,,,
5/16/16,2016,2014,D3,Unverified,$1.15 ,,,,,,
5/16/16,2016,2015,D3,Unverified,$1.31 ,,,,,,
5/16/16,2016,2016,D3,Q-RIN,$1.74 ,,,,,,
5/16/16,2016,2016,D3,Unverified,$1.75 ,,,,,,
5/23/16,2016,2014,D3,Unverified,$1.14 ,,,,,,
5/23/16,2016,2015,D3,Unverified,$1.25 ,,,,,,
5/23/16,2016,2016,D3,Q-RIN,$1.48 ,,,,,,
5/23/16,2016,2016,D3,Unverified,$1.48 ,,,,,,
5/30/16,2016,2016,D3,Q-RIN,$1.81 ,,,,,,
5/30/16,2016,2016,D3,Unverified,$1.85 ,,,,,,
6/6/16,2016,2015,D3,Q-RIN,$1.24 ,,,,,,
6/6/16,2016,2016,D3,Unverified,$1.75 ,,,,,,
6/13/16,2016,2014,D3,Unverified,$0.47 ,,,,,,
6/13/16,2016,2015,D3,Q-RIN,$1.25 ,,,,,,
6/13/16,2016,2016,D3,Q-RIN,$1.75 ,,,,,,
6/20/16,2016,2015,D3,Unverified,$1.26 ,,,,,,
6/20/16,2016,2016,D3,Q-RIN,$1.65 ,,,,,,
6/27/16,2016,2014,D3,Unverified,$1.21 ,,,,,,
6/27/16,2016,2015,D3,Unverified,$1.19 ,,,,,,
6/27/16,2016,2016,D3,Q-RIN,$1.55 ,,,,,,
