,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,-9.920756950698546,-9.869734685261179,-9.835732722033754,-9.812414578368703,-9.795630334893374,-9.782820618859162,-9.772508325279006,-9.760644566425455,-9.752315536692905,-9.748017044085842,-9.74578229210232,-9.744599156184165,-9.743954820693602,-9.743596513783928,-9.743391713287906,-9.743270099783288,-9.743195922654039,-9.743149593061148,-9.743119623508434,-9.743099944703019,-9.743086660402142,-9.743077659508558,-9.743071378295511,-9.74306691361258,-9.743063660157858,-9.743061113141323,-9.74305472477981,-9.743053278374745,-9.74305122116742,-9.743048291112729,-9.74304411348922,-9.743038180023959,-9.743029723241733,-9.743017680059054,-9.743000529845318,-9.74297614309397,-9.742941379282342,-9.742891828922353,-9.742821334293467,-9.742720918674806,-9.742577843014217,-9.74237407616397,-9.74208463912835,-9.741671658199877,-9.741084352825695,-9.740247892270943,-9.739050581494993,-9.737350531750224,-9.734942742131352,-9.731503843981585,-9.726604276312628,-9.719648321902923,-9.709746343890018,-9.695527626249415,-9.675273412497816,-9.646534933042645,-9.606024879945622,-9.547681184452557,-9.464766153134079,-9.346663453985386
11,-10.38024840155299,-10.328730587649375,-10.294398378705665,-10.270853756266263,-10.253906494799395,-10.240952608426397,-10.23054027790485,-10.21857064286111,-10.210160869779173,-10.205820703889756,-10.203570937379808,-10.202376510886864,-10.201725681090267,-10.201357649605924,-10.201150865331954,-10.201028073831935,-10.200953178194752,-10.200906399835844,-10.200876139986576,-10.200856270564884,-10.20084285758712,-10.200833769507582,-10.200827427452253,-10.20082291952275,-10.200819634553781,-10.200817062865923,-10.200810612539854,-10.20080915208841,-10.200807074903324,-10.20080411639421,-10.200799898201169,-10.200793907114871,-10.200785368207562,-10.200773208071212,-10.200755891308745,-10.200731267733119,-10.200696166323908,-10.200646134771489,-10.200574955556718,-10.200473564784446,-10.200329099691515,-10.200123354027369,-10.199831106222078,-10.199414114772935,-10.19882110599464,-10.197976522471677,-10.196767584502794,-10.195051025497605,-10.192619853889383,-10.189147561055748,-10.184200415219308,-10.177176915858325,-10.167178791335132,-10.15282202721609,-10.132371212846735,-10.103353920552237,-10.062450421473969,-10.003541266524309,-9.91982673785705,-9.80059866392935
12,-10.848764713499705,-10.796741624312332,-10.762072690152507,-10.73829714537321,-10.721000297711655,-10.708082948997927,-10.69768842823106,-10.68549092929942,-10.676998834340552,-10.672616177677128,-10.670344387826404,-10.669138266611327,-10.66848141224429,-10.668116144911167,-10.667907366674115,-10.667783391189644,-10.667707773412758,-10.667660544028053,-10.667629992424011,-10.667609931429524,-10.667596389130452,-10.667587213428163,-10.667580810226184,-10.667576258833591,-10.66757294219282,-10.66757034571016,-10.667563832977194,-10.667562358353052,-10.667560261010124,-10.667557273790607,-10.667553014662573,-10.667546965436657,-10.667538343664575,-10.667526065522395,-10.667508580712422,-10.667483718183007,-10.667448276141613,-10.667397759075087,-10.667325889132755,-10.667223514472383,-10.667077647530363,-10.66686990542594,-10.666574821931135,-10.666153784644052,-10.66555502272378,-10.664701886203986,-10.66347467316362,-10.661741280126506,-10.659286266553408,-10.655779922077016,-10.650784262052895,-10.64369188879229,-10.633595725706371,-10.619098197274127,-10.59844690719649,-10.569145288031763,-10.527840629512127,-10.468354824412572,-10.383825350684518,-10.263450328172254
13,-11.326574236873967,-11.274035859869713,-11.239023528592227,-11.215012485959477,-11.197524538975657,-11.184597173846356,-11.173991010381002,-11.161672864004913,-11.153096821540501,-11.148670835821164,-11.146376584596453,-11.145158537967902,-11.144495191747438,-11.144126313716797,-11.143915471161563,-11.143790269851678,-11.143713904391845,-11.143666208018288,-11.14363535432966,-11.143615094978585,-11.143601418777266,-11.143592152348518,-11.14358568583367,-11.143581089438328,-11.143577740003593,-11.143575117847732,-11.143568540637759,-11.143567051398634,-11.143564933268777,-11.14356191644275,-11.143557615102324,-11.143551505922346,-11.14354279869957,-11.14353039886818,-11.143512740765743,-11.143487631822552,-11.143451838513514,-11.143400820769841,-11.143328238520596,-11.143224849218186,-11.143077536577465,-11.142867735521222,-11.142569727418262,-11.142144517164041,-11.141539820788267,-11.140678589391825,-11.13944582681026,-11.137695444901269,-11.135215997274571,-11.131668204501793,-11.126623066733927,-11.119460451551419,-11.109264302283805,-11.094623212111202,-11.073767458604593,-11.044175842163298,-11.002465272450024,-10.942388107266979,-10.857027844600822,-10.735483450821249
14,-11.813956075637833,-11.760892095395874,-11.725529494971695,-11.701278241727096,-11.683595514730214,-11.670548065857162,-11.65983580019791,-11.64739459698366,-11.638732932469836,-11.634262754073504,-11.631945593973953,-11.630715384398727,-11.630045414159667,-11.629672852568945,-11.629459904561216,-11.6293334530003,-11.629256324959186,-11.629208152291966,-11.629176990499545,-11.629156528839246,-11.629142716067904,-11.629133357104834,-11.629126826015565,-11.629122183720767,-11.62911880083874,-11.629116152498085,-11.629109509524,-11.629108005377503,-11.629105866045307,-11.629102819020815,-11.629098474624087,-11.629092304291191,-11.629083509909151,-11.629070985955394,-11.629053151095249,-11.629027790811548,-11.62899163921125,-11.628940110779368,-11.628866801980521,-11.628762377748856,-11.628613590503534,-11.628401689328271,-11.62810069814249,-11.62767123148889,-11.62706048201116,-11.626190632482277,-11.62494553061606,-11.62317762676689,-11.62067374009645,-11.617097613179055,-11.611994782639584,-11.604760516800724,-11.594462375822062,-11.579674843473938,-11.55861052114274,-11.52872307261407,-11.486595881483112,-11.425918025226167,-11.339710712001732,-11.21697419098092
15,-12.31120061529414,-12.257600410582114,-12.221880460745794,-12.197175010924028,-12.179620285430971,-12.16633278688873,-12.15551227483158,-12.142945530895133,-12.13419651895326,-12.129681257942323,-12.127340727805702,-12.126098110489039,-12.125421382926078,-12.125045063650163,-12.124829967823615,-12.124702240854077,-12.1246243348875,-12.124575676342744,-12.1245442002473,-12.12452353220715,-12.124509580117774,-12.124500126758477,-12.124493529795487,-12.124488840677586,-12.124485423675111,-12.124482748622768,-12.124476038558967,-12.124474519204213,-12.124472358241277,-12.124469280408661,-12.12446489208591,-12.124458659365231,-12.124449776063898,-12.124437125481407,-12.124419110294411,-12.124393493594638,-12.124356976468093,-12.124304927035837,-12.124230877016316,-12.124125396957282,-12.12397510533107,-12.12376106163002,-12.123457027126705,-12.123023218130228,-12.122406293332418,-12.12152764866363,-12.120269957336873,-12.118484177667,-12.115954976209082,-12.112342689816401,-12.107195708806827,-12.099881239597849,-12.089479041030259,-12.07454209953029,-12.053264980139232,-12.02307569235927,-11.98052337021899,-11.919232688337061,-11.832161623353016,-11.708208783382247
16,-12.81861012002068,-12.764462739249453,-12.728378142979977,-12.703400363592436,-12.685675844389493,-12.672252709219762,-12.661321739649225,-12.648626895223174,-12.639788757609779,-12.635227496696189,-12.632863121163226,-12.631607843767057,-12.63092422146795,-12.630544068097024,-12.630326780778603,-12.630197752467339,-12.630119052757749,-12.6300698984561,-12.63003810166677,-12.63001722305043,-12.630003128810216,-12.62999357913543,-12.62998691495929,-12.629982178066456,-12.629978726249917,-12.62997602394286,-12.62996924542233,-12.62996771054894,-12.629965527513974,-12.629962418244588,-12.62995798509975,-12.629951688718364,-12.629942714683423,-12.629929934888423,-12.629911735694947,-12.629885857347404,-12.629848967236398,-12.62979638617324,-12.62972157980937,-12.629615022379795,-12.629463195677971,-12.629246965736314,-12.628939825822172,-12.62850158588681,-12.627878359779018,-12.626990740533728,-12.625720202917606,-12.623916182786743,-12.621361146980107,-12.617711962362137,-12.612512820822175,-12.605123591168066,-12.59461520624393,-12.579525798399956,-12.558031525543726,-12.527534210982765,-12.484548003316576,-12.422631978492689,-12.334679998665976,-12.209246333601072
17,-13.336499325802734,-13.281793480587794,-13.245336715152476,-13.22020120348418,-13.20218321889449,-13.188621646290727,-13.177577939778189,-13.164752356087149,-13.155823259550587,-13.151215052999788,-13.148826341949217,-13.147558144293399,-13.146867485574134,-13.146483419322337,-13.146263895480502,-13.146133539087685,-13.146054029325114,-13.146004369080003,-13.1459722450072,-13.145951151487921,-13.145936912176168,-13.145927264206932,-13.145920531436602,-13.145915745786837,-13.145912258440859,-13.145909528319038,-13.145902679932732,-13.145901129220732,-13.145898923658862,-13.145895782304393,-13.14589130341318,-13.145884942058473,-13.14587587541915,-13.145862963747533,-13.14584457675393,-13.145818431363722,-13.145781160577982,-13.145728036922364,-13.145652458619608,-13.14554480160642,-13.145391408178511,-13.145172946920837,-13.144862637569389,-13.144419875341384,-13.143790218010352,-13.142893439167878,-13.141609790434273,-13.13978715383982,-13.137205751195069,-13.133518907935283,-13.128266114689026,-13.120808753221766,-13.110184202670979,-13.094939177240633,-13.073223260810408,-13.042411543390415,-12.998982436577606,-12.93642815677461,-12.847577614215894,-12.720834852311697
18,-13.865196099565964,-13.809920148707349,-13.77286342096879,-13.747675143048667,-13.729469399205158,-13.715766502356175,-13.704607708302788,-13.691648664271526,-13.682626718289512,-13.677970590762087,-13.675557038712782,-13.674275652458277,-13.673577811189716,-13.67318975079904,-13.672967943989647,-13.672836231936003,-13.672755895299346,-13.672705718604277,-13.67267326045193,-13.672651947567076,-13.672637560170983,-13.672627811866022,-13.672621009077034,-13.672616173658255,-13.67261265004484,-13.67260989153064,-13.672602971825242,-13.6726014049446,-13.672599176386186,-13.672596002278155,-13.672591476687572,-13.672585049005818,-13.672575887832423,-13.672562841536333,-13.672544262829305,-13.67251784483227,-13.672480185439852,-13.672426507886314,-13.67235014156023,-13.672241362052077,-13.672086369253748,-13.671865630187995,-13.671552085361682,-13.67110470661649,-13.67046848406703,-13.669562354791225,-13.668265321787516,-13.66642368090362,-13.663815362182731,-13.660090075928593,-13.654782510173959,-13.64724739088561,-13.636512431797044,-13.621108539475117,-13.599166349890012,-13.568033656555343,-13.524152364443268,-13.460946508787131,-13.37118610398025,-13.243115540791464
19,-14.405042128710846,-14.349184063309067,-14.311716487663645,-14.286272621824153,-14.267875160824275,-14.254027961862903,-14.242751655490764,-14.229656344280173,-14.220539598672644,-14.21583454399962,-14.213395629477432,-14.212100777791036,-14.211395603217511,-14.211003464857,-14.21077932716463,-14.210646230997767,-14.21056505013226,-14.210514346148429,-14.210481546904802,-14.210460010050255,-14.210445471462194,-14.210435620715643,-14.21042874643858,-14.210423860206092,-14.21042029956439,-14.210417512061895,-14.210410519537689,-14.210408936147942,-14.210406684108875,-14.210403476557545,-14.210398903284045,-14.21039240787836,-14.210383150180263,-14.21036996642465,-14.210351191967163,-14.210324495622487,-14.210286439439912,-14.210232196324284,-14.210155025380388,-14.210045099739219,-14.209888473890402,-14.209665409050032,-14.20934856061605,-14.208896468140154,-14.20825354212593,-14.207337865525702,-14.206027166430701,-14.20416612111974,-14.201530319643823,-14.197765781120964,-14.192402290009426,-14.184787771507075,-14.173948469187337,-14.158373942969249,-14.136200705144503,-14.104740257117896,-14.060397207558395,-13.996526030788814,-13.905822412354638,-13.776393763087313
