,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,1919.340468861248,2090.0291768018137,2264.0480097776363,2449.3873963737547,2654.1579537138887,2888.6326387732624,3168.559752802987,3557.3643048067674,4011.158551693656,3871.7199328860015,3744.248668753188,3628.2050003279764,3523.07624983367,3424.741105881411,3266.470647471181,3110.092263964955,2968.0026732464116,2838.3290298614234,2719.5120709257235,2610.2431530187887
11,1859.2760266312723,2021.0487097763323,2182.521210129825,2350.899218069059,2532.678448953605,2735.179660681961,2968.3004516872215,3289.218862496257,3668.863613013308,3990.5116932063524,3860.744917654789,3741.1935563337265,3631.76646893652,3532.2919161820605,3438.7499985859713,3300.5060730288174,3149.717125411178,3012.1042740177168,2886.0128123401087,2770.053956104704
12,1804.6470726951245,1959.5541313368883,2111.263945287173,2266.538919612197,2430.92272183948,2610.0822277763223,2810.868823546978,3043.0047484672896,3361.8822510662844,3739.749187658529,3972.591761907355,3851.014804781618,3738.4762304130477,3634.9476743061214,3540.559200870481,3451.481624128479,3331.431571802465,3185.879523511435,3052.5135488142328,2929.8647637647287
13,1754.3801496458843,1903.997411471694,2047.9980172203295,2192.946945633099,2343.821554533982,2505.2668963265746,2682.442161723883,2881.9169301674583,3113.333282389357,3430.397743063787,3806.6790074438213,3956.458078126768,3842.347877152,3736.0436294901115,3638.8878195898437,3548.017176525924,3462.914815338157,3359.654766954527,3219.0142908888242,3089.6755662319742
14,1707.665867527045,1853.213508358904,1991.1130817712017,2127.79983952837,2267.9557400763842,2415.585914114057,2574.8028042740266,2750.418586325286,2948.872252669319,3179.774890138382,3495.20440280392,3870.042716225798,3941.8175204433683,3834.5788857690914,3733.8532427830773,3641.4595292514246,3554.7789977404564,3473.273162855005,3385.515026667102,3249.486374564298
15,1663.90650575025,1806.3512469370278,1939.3696707998877,2069.385141281973,2200.8914844993824,2337.5124052911556,2482.66806770593,2640.1506442080286,2814.5332661046946,3012.182876564709,3284.101113975034,3556.6742259889725,3930.1655062986288,3929.0243870262384,3827.575131895327,3731.870607700535,3643.794072130987,3560.937685591169,3482.7010610201987,3407.947888589991
16,1622.598554864401,1762.734988764623,1891.8600586526109,2016.4438033842798,2140.8915500121393,2268.5857362785623,2402.5143122661266,2545.7548946161946,2701.8227102108135,2875.2096042502553,3072.22137416988,3342.420580027992,3615.11585157844,3987.324032487421,3917.890169838066,3821.228845552135,3730.0675171520743,3645.922586226978,3566.5704069626154,3491.412644765012
17,1583.369230617072,1721.8384121523586,1847.8507526637363,1968.001451326084,2086.6354601266407,2206.985921571997,2331.773476078416,2463.6067324963915,2605.3021145422786,2760.226432751632,2932.7976451604727,3129.2994947331463,3397.901312989888,3702.9518363793577,4006.214328174893,3907.4491234266106,3815.451586611374,3728.4206434180855,3647.871561042903,3571.7416901161287
18,,1683.2536869342964,1806.8052340822599,1923.3138763386487,2037.124831718323,2151.3810961261256,2268.6223031374225,2391.1362768775084,2521.2840910215327,2661.718451630108,2815.696630793349,2987.5914193248627,3183.6894507165407,3450.7915809986157,3754.264773638089,3991.8403629756726,3897.9313516947964,3808.333709242979,3726.9105268284425,3649.662624834656
19,,1646.6353480131227,1768.268575515371,1881.7851616163487,1991.5765212160597,,,,,,,,,,,,,,,3725.520822658622
