Stream,Type,Original unit,HXN unit,H_in (kJ),H_out (kJ),T_in (C),T_out (C)
,,,,,,,
12,Hot,M304_H,HX_9_12_hs,7.15E+07,7.15E+07,,
,,,,,,,
12,Hot,M304_H,HX_12_2_cs,7.15E+07,6.79E+07,,
,,,,,,,
12,Hot,M304_H,HX_12_3_cs,6.79E+07,6.61E+07,,
,,,,,,,
12,Hot,M304_H,HX_12_1_cs,6.61E+07,6.52E+07,,
,,,,,,,
12,Hot,M304_H,HX_12_0_cs,6.52E+07,6.51E+07,,
,,,,,,,
12,Hot,M304_H,Util_12_cs,6.51E+07,8.10E+06,,30
,,,,,,,
13,Hot,H201,HX_9_13_hs,5.73E+07,6.95E+06,113.4653654,
,,,,,,,
13,Hot,H201,Util_13_cs,6.95E+06,6.95E+06,,99.44632194
,,,,,,,
14,Hot,H301,HX_6_14_hs,6.87E+07,5.23E+07,99.87908233,
,,,,,,,
14,Hot,H301,HX_8_14_hs,5.23E+07,3.98E+07,,
,,,,,,,
14,Hot,H301,HX_14_0_cs,3.98E+07,3.88E+07,,
,,,,,,,
14,Hot,H301,HX_14_3_cs,3.88E+07,3.85E+07,,
,,,,,,,
14,Hot,H301,HX_14_1_cs,3.85E+07,3.82E+07,,
,,,,,,,
14,Hot,H301,Util_14_cs,3.82E+07,2.25E+07,,50
,,,,,,,
15,Hot,R402_H,HX_9_15_hs,5.77E+07,5.10E+07,100.3271024,
,,,,,,,
15,Hot,R402_H,HX_0_15_hs,5.10E+07,4.69E+07,,
,,,,,,,
15,Hot,R402_H,Util_15_cs,4.69E+07,1.72E+07,,89
,,,,,,,
16,Hot,D403 - condenser,HX_16_9_cs,1.28E+07,9.32E+06,64.23112099,
,,,,,,,
16,Hot,D403 - condenser,HX_16_6_cs,9.32E+06,4.58E+06,,
,,,,,,,
16,Hot,D403 - condenser,HX_16_8_cs,4.58E+06,4.13E+06,,
,,,,,,,
16,Hot,D403 - condenser,Util_16_cs,4.13E+06,1.68E+06,,62.10903972
,,,,,,,
17,Hot,D403_H,Util_17_cs,1.28E+06,1.10E-07,62.10903972,25
