         2082287 function calls (2048994 primitive calls) in 3.453 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2515    0.004    0.000    0.017    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\heat_capacity.py:453(calculate_integral)
     8443    0.008    0.000    0.017    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:267(calculate_integral)
      180    0.001    0.000    0.017    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\testing\_private\utils.py:1473(assert_allclose)
      774    0.004    0.000    0.017    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\mixture\ideal_mixture_model.py:102(<listcomp>)
    29770    0.012    0.000    0.016    0.000 C:\Users\yrc2\OneDrive\Code\thermo\thermo\utils\t_dependent_property.py:1763(test_property_validity)
     1741    0.002    0.000    0.016    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\equilibrium\vle.py:858(<listcomp>)
    12715    0.010    0.000    0.016    0.000 {built-in method builtins.sum}
      180    0.002    0.000    0.015    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\testing\_private\utils.py:697(assert_array_compare)
       12    0.000    0.000    0.014    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_multi_effect_evaporator.py:250(_load_components)
      171    0.001    0.000    0.014    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\_unit.py:303(__init__)
     2858    0.007    0.000    0.014    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:893(_get_property_cache)
      517    0.003    0.000    0.013    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:2040(phases)
    72703    0.013    0.000    0.013    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:176(IQ_iter)
    23378    0.006    0.000    0.013    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
     3212    0.002    0.000    0.013    0.000 {method 'max' of 'numpy.ndarray' objects}
       70    0.001    0.000    0.013    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_pump.py:161(_design)
        6    0.000    0.000    0.013    0.002 C:\Users\yrc2\OneDrive\Code\Bioindustrial-Park\BioSTEAM 2.x.x\biorefineries\lipidcane\_system.py:216(adjust_acetone_flow_rate)
     4318    0.002    0.000    0.013    0.000 {method 'all' of 'numpy.ndarray' objects}
     4656    0.010    0.000    0.012    0.000 C:\Users\yrc2\OneDrive\Code\chemicals\chemicals\heat_capacity.py:1571(TRCCp_integral)
        8    0.000    0.000    0.012    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_flash.py:248(_design)
     1380    0.006    0.000    0.012    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\interpolate.py:667(_check_bounds)
      608    0.002    0.000    0.012    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1531(copy)
     3352    0.001    0.000    0.011    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_methods.py:37(_amax)
     5065    0.002    0.000    0.011    0.000 C:\ProgramData\Anaconda3\lib\site-packages\numpy\core\_methods.py:56(_all)
     1380    0.001    0.000    0.011    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\polyint.py:83(_prepare_x)
     1072    0.001    0.000    0.011    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\thermo\tp_dependent_property.py:19(__call__)
        8    0.000    0.000    0.011    0.001 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\_fermentation.py:261(_run)
     1380    0.010    0.000    0.011    0.000 C:\ProgramData\Anaconda3\lib\site-packages\scipy\interpolate\_bsplines.py:348(_evaluate)
     1280    0.002    0.000    0.011    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_stream.py:1341(copy_like)
      123    0.000    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\biosteam\biosteam\units\facilities\hxn\hxn_synthesis.py:264(get_stream_at_H_max)
      322    0.001    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\thermosteam\thermosteam\_chemical.py:1291(Tsat)
    13490    0.010    0.000    0.010    0.000 C:\Users\yrc2\OneDrive\Code\flexsolve\flexsolve\utils.py:72(array_fixedpoint_converged)
    30081    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
