,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
19,304982.748290793,348820.08139613614,392657.41359610774,436494.745132714,480332.0761692108,524169.40681952616,568006.7371655288,611844.0672675254,655681.3971709182,699518.7269105124,743356.0565134404,787193.3860011715,831030.7153909071,874868.0446966173,918705.373654904,962542.7030664097,1006380.0324263846,1050217.361741015,1094054.6903025657,1137892.0192869173,1181729.3482370928,1225566.677156574,1269404.006048435,1313241.3349153318,1357078.6637596644,1400915.9925833144,1444753.3213882635,1488590.650176058,1532427.9789480942,1576265.3077057528,1620102.6364499081,1663939.965182086,1707777.2939027823,1751614.622612851,1795451.9513131804,1839289.2800044115,1883126.6086871594,1926963.937361988,1970801.2660294122,2014638.5946899108,2058475.923343908,2102313.2519918126,2146150.580633977,2189987.9092708807,2233825.2379024406,2277662.5665293224,2321499.8951516794,2365337.2237697523,2409174.5523837106,2453011.880993935
20,304982.90683279163,348820.2762963002,392657.64554503636,436495.0146349175,480332.3836041334,524169.75247960695,568007.1212808517,611844.4900223039,655681.85871494,699519.2273671835,743356.5959856411,787193.964575548,831031.333141118,874868.7016857737,918706.0702123396,962543.438723113,1006380.8072200699,1050218.175704844,1094055.5441788184,1137892.9126431854,1181730.281098965,1225567.649547031,1269405.01798815,1313242.3864229943,1357079.7548521368,1400917.1232761,1444754.4918212858,1488591.8602342936,1532429.228643452,1576266.5970490633,1620103.965451409,1663941.3338507346,1707778.7022472667,1751616.0706412108,1795453.4390327614,1839290.8074220503,1883128.1758092656,1926965.5441945319,1970802.9125779725,2014640.2809597137,2058477.6493398477,2102315.017718488,2146152.386095705,2189989.7544716033,2233827.122846241,2277664.4912196975,2321501.85959204,2365339.227963322,2409176.596333597,2453013.9647029345
21,304982.93683676847,348820.3091366957,392657.6850988158,436495.061036972,480332.43769188446,524169.8154696144,568007.1942028835,611844.5737513609,655681.9538065642,699519.3307703094,743356.7078588156,787194.0849473202,831031.4620358247,874868.8391243257,918706.2162128321,962543.5933013349,1006380.9469403594,1050218.3227420964,1094055.6985414806,1137893.0743387658,1181730.4501341765,1225567.8259278985,1269405.201720095,1313242.5775109178,1357079.9533004947,1400917.3290889303,1444754.704876327,1488592.0806627667,1532429.4564483338,1576266.8322330997,1620104.2080171271,1663941.5838004553,1707778.9595831647,1751616.3353652842,1795453.7111468457,1839291.0869279073,1883128.4627084932,1926965.838488628,1970803.2142683517,2014640.5900476878,2058477.9658266527,2102315.341605283,2146152.7173835835,2189990.093161581,2233827.468939294,2277664.844716739,2321502.220493926,2365339.596270875,2409176.972047589,2453014.3478240888
22,304982.93696467736,348820.3140540473,392657.6911433904,436495.0681865013,480332.4452804597,524169.82237375015,568007.1994664354,611844.5765585885,655681.9536502807,699519.3307415777,743356.7078325232,787194.0849231939,831031.4620136133,874868.8391038231,918706.216193847,962543.5932837114,1006380.9703734352,1050218.347295225,1094055.7243956805,1137893.1014950182,1181730.4785933767,1225567.8556908625,1269405.232787577,1313242.6098836018,1357079.9869790194,1400917.3640738802,1444754.7411682538,1488592.1182621843,1532429.4953557095,1576266.872448871,1620104.2495417064,1663941.6266342455,1707779.003726511,1751616.3808185311,1795453.7579103145,1839291.1350018966,1883128.51209329,1926965.8891845043,1970803.2662755528,2014640.6433664607,2058478.0204572272,2102315.3975478695,2146152.7746383874,2189990.1517287972,2233827.528819107,2277664.9059093227,2321502.2829994475,2365339.6600894914,2409177.037179459,2453014.4142693584
23,304982.93697314564,348820.3140616142,392657.6911500912,436495.0682367938,480332.4453254028,524169.8224138154,568007.1995031732,611844.576591805,655681.9536804245,699519.3307690311,743356.7078576322,787194.0849462214,831031.4620348042,874868.8391233766,918706.2162119457,962543.5933005088,1006380.9703890654,1050218.3474697147,1094055.7245587395,1137893.10164772,1181730.4787366642,1225567.855825569,1269405.2329144413,1313242.6100032835,1357079.9870921092,1400917.3641809016,1444754.7412696823,1488592.1183584365,1532429.4954471753,1576266.8725358937,1620104.2496246055,1663941.626713298,1707779.0038019828,1751616.3808906546,1795453.757979315,1839291.1350679717,1883128.5121566113,1926965.8892452482,1970803.2663338766,2014640.643422496,2058478.0205111068,2102315.3975997176,2146152.7746883193,2189990.151776921,2233827.5288655153,2277664.9059541053,2321502.2830426907,2365339.6601312733,2409177.0372198476,2453014.41430842
24,304982.93697362574,348820.31406211335,392657.69115054375,436495.0682390061,480332.4453274885,524169.82241597073,568007.199504452,611844.5765929349,655681.9536814165,699519.3307699002,743356.7078583823,787194.0849468638,831031.4620353474,874868.8391238298,918706.2162123114,962543.5933007931,1006380.9703892771,1050218.3474776307,1094055.724566116,1137893.1016546038,1181730.4787430945,1225567.8558315812,1269405.2329200676,1313242.6100085555,1357079.9870970396,1400917.364185529,1444754.741274013,1488592.118362501,1532429.4954509796,1576266.8725394683,1620104.2496279546,1663941.626716437,1707779.0038049223,1751616.3808934109,1795453.7579818869,1839291.1350703775,1883128.5121588577,1926965.8892473425,1970803.2663358303,2014640.6434243103,2058478.0205127937,2102315.3976012757,2146152.7746897587,2189990.1517782467,2233827.528866731,2277664.9059552043,2321502.2830436956,2365339.6601321744,2409177.037220656,2453014.4143091408
25,304982.7514247319,348820.01393916085,392657.2646182549,436494.5065456073,480331.7422489357,524168.9731955369,568006.2004637498,611843.4248289969,655680.6468631194,699517.8669973415,743355.085561747,787192.3028154548,831029.51896283,874866.734168278,918703.9485639732,962541.1622563199,1006378.3753428754,1050215.5878955992,1094052.799977844,1137890.0116440165,1181727.2229384365,1225564.433902116,1269401.6445685327,1313238.8549671979,1357076.065123844,1400913.275061008,1444750.4847985094,1488587.6943538454,1532424.903742552,1576262.1129783809,1620099.3220737681,1663936.531039638,1707773.7398859304,1751610.9486219685,1795448.157254616,1839285.3657922961,1883122.5742413143,1926959.7826076502,1970796.9908963884,2014634.199113758,2058471.4072639607,2102308.6153491153,2146145.823375579,2189983.03134626,2233820.239265181,2277657.4471319825,2321494.6549532516,2365331.862730253,2409169.070465385,2453006.278160892
26,304982.9369574724,348820.3140534202,392657.6911448927,436495.0682221986,480332.4453164938,524169.82240795763,568007.1994980023,611844.5765872947,655681.9536749382,699519.3307634896,743356.7078518947,787194.0849402073,831031.4620284651,874868.8391166873,918706.2162048839,962543.5932930602,1006380.9703812255,1050218.3474684684,1094055.7245568181,1137893.101645115,1181730.4787333726,1225567.855821604,1269405.2329098166,1313242.609998011,1357079.9870861901,1400917.3641743658,1444754.741262531,1488592.118350692,1532429.4954388458,1576266.8725269958,1620104.2496151468,1663941.6267032926,1707779.0037914352,1751616.3808795798,1795453.757967722,1839291.1350558647,1883128.512144007,1926965.8892321407,1970803.2663202817,2014640.643408419,2058478.0204965563,2102315.397584693,2146152.7746728254,2189990.151760971,2233827.5288491054,2277664.905937245,2321502.283025379,2365339.6601135144,2409177.0372016495,2453014.414289782
27,304982.93409773463,348820.31130820996,392657.68846670625,436495.06559175503,480332.44269361557,524169.81975515874,568007.1968259542,611844.5738873028,655681.9509413003,699519.327989467,743356.7050329342,787194.0820725609,831031.4591090055,874868.8361427912,918706.2158519679,962543.5929454042,1006380.970036348,1050218.3460666903,1094055.7232591738,1137893.1004357298,1181730.4775991328,1225567.8547515823,1269405.2318948419,1313242.6090303427,1357079.986159247,1400917.3632825038,1444754.740400914,1488592.117515135,1532429.4946257062,1576266.8717331109,1620104.2488377201,1663941.625939886,1707779.0030398832,1751616.3801379637,1795453.7572343445,1839291.134329199,1883128.5114226996,1926965.8885149686,1970803.2656061428,2014640.6426963268,2058478.0197856154,2102315.396874089,2146152.7739618192,2189990.1510488843,2233827.5281353313,2277664.905221211,2321502.2823065887,2365339.659391484,2409177.036475951,2453014.413560016
28,304982.9216035483,348820.30009814614,392657.6767153699,436495.0532663629,480332.42978717975,524169.80627858423,568007.1827476398,611844.5591993247,655681.9356372448,699519.3120640803,743356.6884818539,787194.0648921302,831031.4412961286,874868.8176948251,918706.1940890014,962543.5704792852,1006380.9468662079,1050218.3232501973,1094055.6996316158,1137893.0760107685,1181730.4523879096,1225567.8287632684,1269405.2050990048,1313242.5814700143,1357079.9578397328,1400917.3342082812,1444754.7105757722,1488592.0869422965,1532429.4633079395,1576266.8396727806,1620104.2160368827,1663941.5924003087,1707778.9687631095,1751616.345125323,1795453.7214870069,1839291.0978481933,1883128.4742089212,1926965.850569216,1970803.2269291114,2014640.603288637,2058477.9796478085,2102315.3560066624,2146152.7323652008,2189990.1087234616,2233827.4850814412,2277664.861439166,2321502.237796658,2365339.6141539156,2409176.9905109615,2453014.3668683725
